pid,rate_hz,n_epochs,auc_mean,auc_std,inner_mean
2,5,142,0.8422222222222221,0.042069182005097024,0.880547619047619
3,5,142,0.8028571428571428,0.06691488183457212,0.8154999999999999
4,5,142,0.8498412698412698,0.05206833117271105,0.9051071428571428
6,5,142,0.7860317460317461,0.07069036525570427,0.8309880952380952
8,5,142,0.8206349206349206,0.06188847974721966,0.8519523809523809
9,5,142,0.7565079365079365,0.05625500733570422,0.699392857142857
10,5,142,0.6933333333333334,0.08833386813683138,0.7378690476190476
11,5,142,0.7434920634920635,0.05171388620773902,0.81525
12,5,142,0.880952380952381,0.05508188091779527,0.8924642857142858
13,5,142,0.6787301587301587,0.08323032181929621,0.688607142857143
14,5,142,0.8193650793650795,0.06402081420167668,0.8351190476190476
2,6,142,0.772063492063492,0.034037905152203715,0.7923809523809524
3,6,142,0.7425396825396825,0.08457145240478238,0.8043214285714285
4,6,142,0.9012698412698414,0.04086369133890463,0.9032500000000001
6,6,142,0.8168253968253969,0.08324545631127661,0.8282619047619046
8,6,142,0.7215873015873016,0.07597920443235004,0.7635833333333333
9,6,142,0.5380952380952382,0.10690685354006654,0.654297619047619
10,6,142,0.687936507936508,0.054211403701225465,0.7212261904761906
11,6,142,0.7806349206349206,0.05847563896815225,0.7901071428571428
12,6,142,0.8806349206349205,0.05922485773938545,0.8724761904761905
13,6,142,0.513015873015873,0.07612695764988883,0.628452380952381
14,6,142,0.8993650793650794,0.03616958461326305,0.8528928571428572
2,10,142,0.6180952380952381,0.033568332627707094,0.6476071428571428
3,10,142,0.6663492063492064,0.06967440383498553,0.6679999999999999
4,10,142,0.8606349206349208,0.0463415953742335,0.8797619047619047
6,10,142,0.8765079365079366,0.04316643246681758,0.9126666666666667
8,10,142,0.692063492063492,0.08004785668611192,0.7294404761904761
9,10,142,0.6533333333333333,0.051361900739445555,0.6582738095238095
10,10,142,0.6285714285714284,0.08893422879945716,0.5945476190476191
11,10,142,0.8504761904761905,0.05044423466846811,0.8699761904761905
12,10,142,0.956825396825397,0.03372259485686224,0.9388214285714286
13,10,142,0.5117460317460317,0.12130806345211927,0.5459642857142857
